title,release_year,genres,imdb_score
Hip Hop Evolution,2016,"['documentation', 'music']",8.4
The Get Down,2016,"['drama', 'music']",8.2
Blue Jay,2016,"['romance', 'drama']",7.3
Bert Kreischer: The Machine,2016,['comedy'],7.6
ARQ,2016,"['scifi', 'thriller', 'action']",6.3
Dragons: Race to the Edge,2015,"['animation', 'action', 'scifi', 'family', 'comedy', 'drama', 'fantasy']",8.2
Ratchet & Clank,2016,"['action', 'animation', 'comedy', 'family', 'scifi', 'fantasy']",5.5
Dangal,2016,"['action', 'drama', 'sport']",8.4
Bill Hicks: Reflections,2015,['documentation'],
Pee-wee's Big Holiday,2016,"['comedy', 'family']",6.1
Headshot,2016,"['thriller', 'action', 'drama']",6.3
Flaked,2016,"['drama', 'romance', 'comedy']",7.2
A Very Secret Service,2015,"['comedy', 'european']",7.7
Voltron: Legendary Defender,2016,"['action', 'scifi', 'animation', 'comedy', 'drama', 'family', 'fantasy']",8.1
Transformers: Robots In Disguise,2015,"['scifi', 'animation', 'action', 'comedy']",6.0
The Young Messiah,2016,"['drama', 'fantasy']",5.6
Crazyhead,2016,"['comedy', 'horror', 'scifi', 'european']",7.2
Lady Dynamite,2016,"['comedy', 'drama']",7.3
No Tomorrow,2016,"['comedy', 'drama', 'romance', 'thriller']",7.3
Marauders,2016,"['thriller', 'action', 'crime']",5.5
White Girl,2016,"['drama', 'horror', 'crime']",5.7
Greenleaf,2016,['drama'],7.3
Grizzy & the Lemmings,2016,"['comedy', 'animation', 'family', 'european']",7.1
Our Brand Is Crisis,2015,"['comedy', 'drama']",6.1
The Ridiculous 6,2015,"['western', 'action', 'comedy']",4.8
Special Correspondents,2016,['comedy'],5.8
Jem and the Holograms,2015,"['fantasy', 'drama', 'family', 'music', 'romance', 'scifi']",4.1
Mascots,2016,['comedy'],5.8
Mindhorn,2016,"['comedy', 'thriller']",6.3
The Do-Over,2016,"['action', 'comedy']",5.7
Bo Burnham: Make Happy,2016,"['comedy', 'music', 'documentation']",8.4
7 Years,2016,"['drama', 'european']",6.7
Zumbo's Just Desserts,2016,['reality'],6.9
The Letdown,2016,['comedy'],7.5
Case,2015,"['crime', 'drama', 'thriller']",7.0
For the Love of Spock,2016,['documentation'],7.6
Suffragette,2015,"['drama', 'history']",6.9
The Girl King,2015,"['drama', 'european', 'history', 'romance']",5.8
Boyka: Undisputed IV,2016,"['drama', 'european']",
Dream/Killer,2015,"['crime', 'documentation']",7.4
Sinatra: All or Nothing at All,2015,"['documentation', 'music']",8.0
Amanda Knox,2016,"['crime', 'documentation', 'european']",6.9
Tallulah,2016,"['drama', 'romance', 'comedy']",6.7
By the Sea,2015,"['drama', 'european', 'romance']",5.3
Marco Polo: One Hundred Eyes,2015,"['action', 'history', 'drama']",7.8
The Adventures of Puss in Boots,2015,"['family', 'animation', 'comedy', 'fantasy', 'western', 'action']",6.6
Last Chance U,2016,"['documentation', 'sport']",8.4
Molang,2015,"['animation', 'comedy', 'family', 'european']",8.4
Signal,2016,"['crime', 'scifi', 'thriller', 'drama', 'fantasy']",8.6
Between,2015,"['scifi', 'drama', 'thriller']",6.0
Midnight Diner: Tokyo Stories,2016,['drama'],8.4
Ares,2016,"['scifi', 'thriller', 'drama', 'european']",6.2
Results,2015,"['comedy', 'romance']",5.4
I Am the Pretty Thing That Lives in the House,2016,"['thriller', 'drama', 'horror']",4.6
Reply 1988,2015,"['comedy', 'drama', 'family', 'romance']",9.2
Sunny Bunnies,2015,"['animation', 'family']",6.6
Cinderella and Four Knights,2016,"['comedy', 'drama', 'romance']",7.5
Legends of the Hidden Temple,2016,['family'],5.7
Simon,2016,"['animation', 'comedy', 'family']",7.0
David Brent: Life on the Road,2016,"['comedy', 'music', 'action']",6.3
Conspiracy,2015,"['documentation', 'history', 'european']",6.2
The Sound of Your Heart,2016,"['drama', 'comedy']",8.2
Spotless,2015,"['drama', 'comedy', 'crime', 'european']",7.7
Message from the King,2016,"['thriller', 'drama', 'action', 'crime', 'european']",6.4
Sebastian Maniscalco: Why Would You Do That?,2016,['comedy'],7.3
Club de Cuervos,2015,"['comedy', 'drama']",8.2
Little Things,2016,"['comedy', 'drama', 'romance']",8.2
Care Bears and Cousins,2015,['animation'],6.8
Sleight,2016,"['thriller', 'crime', 'drama', 'scifi', 'action']",5.9
Sniper: Ghost Shooter,2016,['drama'],
Middle School: The Worst Years of My Life,2016,"['comedy', 'family', 'animation']",6.0
Kuromukuro,2016,"['comedy', 'drama', 'action', 'scifi', 'animation']",7.2
Rock the Kasbah,2015,"['comedy', 'music', 'war']",5.5
Marseille,2016,"['drama', 'european']",6.9
Puffin Rock,2015,"['animation', 'family', 'comedy', 'european']",8.7
Chef's Table: France,2016,['documentation'],8.2
Veteran,2015,"['crime', 'thriller', 'action', 'comedy']",7.0
A Very Murray Christmas,2015,"['comedy', 'music']",5.5
The Method,2015,"['drama', 'thriller', 'crime']",7.4
Skylanders Academy,2016,"['action', 'animation', 'comedy', 'family', 'fantasy']",6.7
Kevin Hart: What Now?,2016,"['comedy', 'documentation']",5.9
Extraction,2015,"['thriller', 'action']",4.1
Tramps,2016,"['romance', 'comedy', 'documentation', 'european']",6.5
The Warriors Gate,2016,"['action', 'comedy', 'family', 'fantasy', 'european']",5.4
The Dreamseller,2016,['drama'],6.0
LEGO Marvel Super Heroes: Avengers Reassembled!,2015,"['animation', 'comedy', 'scifi', 'action']",6.1
Incarnate,2016,"['horror', 'thriller']",5.2
Güeros,2015,"['drama', 'comedy']",7.4
Term Life,2016,"['thriller', 'action', 'crime', 'drama']",5.6
The Distinguished Citizen,2016,"['comedy', 'drama', 'european']",7.5
Drishyam,2015,"['thriller', 'crime', 'drama']",8.2
Tig,2015,['documentation'],7.4
John Mulaney: The Comeback Kid,2015,"['comedy', 'documentation']",7.9
Kathleen Madigan: Bothering Jesus,2016,['comedy'],
"Can't Cope, Won't Cope",2016,"['drama', 'comedy', 'european']",7.3
Rocco,2016,"['documentation', 'european']",5.7
Minimalism: A Documentary About the Important Things,2015,['documentation'],6.7
Lego Bionicle: The Journey to One,2016,"['animation', 'action', 'fantasy', 'scifi']",5.5
The Mr. Peabody & Sherman Show,2015,"['comedy', 'scifi', 'animation', 'family', 'history']",5.7
Fate/Grand Order: First Order,2016,"['fantasy', 'animation']",5.7
Inspector Gadget,2015,"['action', 'comedy', 'family', 'scifi', 'animation']",4.5
Lavender,2016,"['thriller', 'drama']",5.3
Heidi,2015,"['drama', 'family', 'animation', 'european']",7.2
True Memoirs of an International Assassin,2016,"['action', 'comedy', 'crime']",5.9
Danger Mouse,2015,"['comedy', 'crime', 'family', 'fantasy', 'scifi', 'animation', 'action', 'european']",7.2
The Darkness,2016,"['thriller', 'horror']",4.5
Hot Girls Wanted,2015,['documentation'],6.1
Haters Back Off,2016,"['comedy', 'drama', 'family', 'romance']",6.1
Intersection,2016,['drama'],6.7
Terrace House: Boys & Girls in the City,2015,"['reality', 'drama']",8.1
High & Low The Movie,2016,['action'],6.6
The K2,2016,"['war', 'drama', 'romance', 'thriller']",7.9
Dinotrux,2015,"['action', 'comedy', 'family', 'animation']",6.8
"Hello, My Twenties!",2016,"['comedy', 'drama', 'romance']",8.3
Dawn of the Croods,2015,"['comedy', 'family', 'animation']",5.8
Anthony Jeselnik: Thoughts and Prayers,2015,['comedy'],
Kong: King of the Apes,2016,"['animation', 'scifi', 'action', 'comedy', 'family']",5.9
Pandora,2016,"['drama', 'action', 'thriller']",6.6
Ok Kanmani,2015,"['drama', 'romance']",7.5
Bella and the Bulldogs,2015,"['comedy', 'family', 'sport']",5.0
Unnatural Selection,2015,"['reality', 'documentation', 'comedy']",8.1
The Lighthouse of the Orcas,2016,"['drama', 'romance', 'european']",6.8
Sin senos sí hay paraíso,2016,"['action', 'drama', 'romance', 'crime']",6.5
Cooked,2016,['documentation'],7.6
Shaun the Sheep: The Farmer's Llamas,2015,"['comedy', 'animation', 'family']",6.8
The Devil's Mistress,2016,"['romance', 'drama', 'history', 'european']",5.8
Opening Night,2016,"['comedy', 'thriller', 'drama', 'action', 'crime']",6.0
LEGO Jurassic World: The Indominus Escape,2016,"['family', 'animation', 'comedy']",
Mossad 101,2015,"['action', 'drama']",6.8
"Surviving Compton: Dre, Suge and Michel'le",2016,"['drama', 'documentation']",6.6
Secrets of Great British Castles,2015,"['documentation', 'history', 'european']",7.8
Netflix Presents: The Characters,2016,['comedy'],5.3
Project Mc²,2015,['family'],6.1
Kapoor & Sons,2016,"['romance', 'comedy', 'drama', 'family']",7.7
El Chema,2016,"['drama', 'action', 'crime']",6.9
Tokyo Trial,2016,"['drama', 'history']",7.4
Love O2O,2016,"['drama', 'romance']",8.0
Baaghi,2016,"['thriller', 'action', 'romance']",5.3
Good Morning Call,2016,"['comedy', 'drama', 'romance']",7.7
Mercy,2016,"['thriller', 'drama']",4.1
Our Lovers,2016,"['comedy', 'drama', 'romance', 'european']",6.7
Inside the World's Toughest Prisons,2016,"['crime', 'documentation']",7.1
Septembers of Shiraz,2015,"['drama', 'thriller', 'western']",7.9
Ordinary World,2016,"['drama', 'family', 'comedy', 'music']",5.5
Beat Bugs,2016,"['animation', 'family', 'fantasy', 'comedy']",7.6
Dhanak,2015,"['drama', 'comedy']",7.9
The Visit,2015,"['comedy', 'romance', 'thriller']",
Jeff Foxworthy & Larry the Cable Guy: We've Been Thinking,2016,['comedy'],5.6
Captive,2016,"['documentation', 'drama', 'european']",6.8
Demetri Martin: Live (At The Time),2015,"['comedy', 'documentation']",7.4
Brothers,2015,"['drama', 'action', 'sport']",6.4
Another Miss Oh,2016,"['drama', 'fantasy', 'romance', 'comedy']",7.9
Rebirth,2016,['thriller'],4.9
Audrie & Daisy,2016,"['documentation', 'crime']",7.2
T@gged,2016,"['drama', 'thriller', 'reality']",7.3
Riot,2015,['action'],5.1
Anjelah Johnson: Not Fancy,2015,"['comedy', 'documentation']",5.7
The Deep,2015,"['action', 'animation', 'family', 'scifi']",8.1
La Niña,2016,"['action', 'drama']",8.3
Colin Quinn: The New York Story,2016,['comedy'],6.8
Ask the Storybots,2016,"['animation', 'comedy', 'family']",8.4
Divines,2016,"['drama', 'crime', 'european']",7.4
MindGamers,2015,"['thriller', 'action', 'scifi', 'european']",3.6
La esclava blanca,2016,['history'],8.1
Tony Robbins: I Am Not Your Guru,2016,['documentation'],6.7
I Am Michael,2015,"['drama', 'romance']",5.6
Justin Timberlake + The Tennessee Kids,2016,"['documentation', 'music']",7.8
World of Winx,2016,"['action', 'animation', 'comedy', 'family', 'fantasy', 'european']",6.6
Heneral Luna,2015,"['action', 'drama', 'history', 'war']",7.4
Un + une,2015,"['comedy', 'drama', 'european', 'romance']",6.2
Mucize,2015,"['drama', 'comedy', 'romance', 'documentation', 'european']",7.7
Pororo the Little Penguin,2016,"['scifi', 'family', 'animation']",6.3
The Heirs,2015,['drama'],5.7
72 Cutest Animals,2016,['documentation'],5.7
Richie Rich,2015,['comedy'],3.1
Gabriel Iglesias: I'm Sorry for What I Said When I Was Hungry,2016,"['comedy', 'documentation']",7.4
In the Shadow of Iris,2016,"['thriller', 'drama', 'crime', 'european']",6.1
Jim Jefferies: Freedumb,2016,"['comedy', 'documentation']",7.7
Force 2,2016,"['crime', 'action', 'thriller']",6.2
Couple Of Days,2016,['drama'],6.4
3000 Nights,2015,['drama'],7.1
6 Years,2015,"['romance', 'drama']",5.6
Tamasha,2015,"['drama', 'comedy', 'romance']",7.4
Manson Family Vacation,2015,"['drama', 'comedy', 'thriller']",5.8
Garfunkel and Oates: Trying to be Special,2016,"['comedy', 'music']",7.3
LEGO Friends: The Power of Friendship,2016,['animation'],6.5
Strange Weather,2016,['drama'],6.0
Rainbow Time,2016,"['drama', 'comedy']",5.9
Extremis,2016,['documentation'],
Much Loved,2015,"['drama', 'european']",6.2
The Good Cop,2015,"['comedy', 'drama']",7.7
Always Be My Maybe,2016,"['comedy', 'romance']",6.7
Tales by Light,2015,['documentation'],8.3
The Guardian Brothers,2016,"['animation', 'family', 'fantasy', 'comedy']",5.4
"Chatô, The King of Brazil",2015,"['comedy', 'drama']",5.4
Open Season: Scared Silly,2015,['animation'],
One More Time,2016,"['scifi', 'drama', 'fantasy']",6.9
My Runway,2016,"['comedy', 'drama', 'fantasy', 'romance']",6.3
Riphagen the Untouchable,2016,"['thriller', 'war', 'drama', 'european']",7.1
The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,2016,"['comedy', 'crime', 'european']",6.3
Dear My Friends,2016,"['drama', 'comedy']",8.2
Toon,2016,['comedy'],7.6
White Nights,2016,['drama'],6.9
Udta Punjab,2016,"['crime', 'action', 'drama']",7.8
The Paper,2016,"['drama', 'crime', 'action']",7.4
Toro,2016,"['thriller', 'action', 'crime', 'drama', 'european']",5.9
Jeff Dunham: Unhinged in Hollywood,2015,['comedy'],6.7
Tom Segura: Mostly Stories,2016,"['comedy', 'documentation']",7.5
Hunterrr,2015,"['romance', 'drama', 'comedy']",7.0
H20: Mermaid Adventures,2015,"['comedy', 'drama', 'family', 'fantasy', 'romance', 'animation', 'european']",5.7
Colin Quinn: Unconstitutional,2015,['comedy'],7.0
Keith Richards: Under the Influence,2015,"['music', 'documentation']",7.1
Terrace House: Aloha State,2016,"['reality', 'drama']",7.5
Stories by Rabindranath Tagore,2015,['drama'],8.8
The Haunted House,2016,"['thriller', 'fantasy', 'horror', 'animation', 'comedy', 'drama', 'family']",8.4
Ralphie May: Unruly,2015,['comedy'],
Cheer Squad,2016,['reality'],7.2
Mohenjo Daro,2016,"['romance', 'drama', 'history', 'action']",5.6
4K Fireplace,2015,"['family', 'reality']",7.7
Zip & Zap and the Captain's Island,2016,"['comedy', 'scifi', 'family', 'fantasy', 'european']",5.8
72 Dangerous Places to Live,2016,['documentation'],6.2
Paquita Salas,2016,"['comedy', 'european']",8.0
Smoke & Mirrors,2016,"['thriller', 'european']",6.9
Nightmare Teacher,2016,"['drama', 'horror', 'thriller']",7.1
Три кота,2015,"['scifi', 'comedy', 'family', 'animation']",6.8
I Called Him Morgan,2016,"['music', 'documentation', 'history', 'drama', 'european']",7.3
The Next Skin,2016,"['thriller', 'drama', 'european']",6.2
Old Money,2015,"['comedy', 'drama', 'european']",7.3
Belgica,2016,"['drama', 'european']",6.7
Taxi Driver,2015,"['crime', 'drama', 'comedy']",6.0
XOXO,2016,"['music', 'drama']",5.3
The White Helmets,2016,"['war', 'documentation']",
Rainbow Ruby,2016,"['animation', 'comedy', 'family', 'fantasy']",6.5
Ali Wong: Baby Cobra,2016,['comedy'],7.5
Fearless,2016,"['documentation', 'reality']",7.1
The Lion Woman,2016,"['drama', 'european']",6.6
Prem Ratan Dhan Payo,2015,"['action', 'drama', 'family', 'romance']",4.4
The Beginning of Life,2016,"['documentation', 'family']",7.6
Pyaar Ka Punchnama 2,2015,"['comedy', 'drama', 'romance']",7.3
Atelier,2015,"['drama', 'documentation', 'comedy']",6.3
The Truth Seekers,2016,"['drama', 'action']",7.1
Chris Tucker: Live,2015,"['comedy', 'documentation']",6.3
Schubert in Love,2016,"['comedy', 'european']",5.0
Chelsea,2016,['comedy'],6.1
Home: Adventures with Tip & Oh,2016,"['comedy', 'family', 'fantasy', 'scifi', 'animation']",5.9
Dinosaur World,2015,"['animation', 'comedy', 'drama']",
Raman Raghav 2.0,2016,"['thriller', 'crime', 'drama']",7.4
White Rabbit Project,2016,['reality'],6.9
Witch Hunt: A Century of Murder,2015,"['crime', 'history', 'fantasy', 'drama', 'european']",7.2
The Princess Weiyoung,2016,"['drama', 'history', 'romance']",7.9
Mind Game,2015,"['drama', 'action', 'crime']",7.5
Chelsea Does,2016,['documentation'],7.3
Real Rob,2015,['comedy'],6.4
Slam,2016,"['comedy', 'romance', 'drama', 'european']",6.1
Gridlocked,2016,['action'],5.8
Jessica Darling's It List,2016,['family'],5.5
StoryBots Super Songs,2016,"['animation', 'family']",8.8
Chocolate City: Vegas Strip,2016,['drama'],3.7
Journey to Greenland,2016,"['drama', 'comedy', 'european']",6.3
Fifty,2015,"['romance', 'drama', 'sport', 'thriller']",6.1
All About Asado,2016,['documentation'],6.5
Phantom,2015,"['thriller', 'action', 'drama', 'horror', 'crime', 'european']",5.9
The Ivory Game,2016,"['documentation', 'european']",7.9
HiGH&LOW: The Red Rain,2016,"['action', 'drama']",6.2
Lens,2016,"['thriller', 'drama']",6.6
Selfie 69,2016,"['romance', 'comedy', 'action', 'european']",6.1
Ali Baba and the 7 Dwarfs,2015,"['comedy', 'action', 'drama']",5.8
Ghost Patrol,2016,['animation'],5.1
Talvar,2015,"['thriller', 'crime', 'drama']",8.1
"Liar, Liar, Vampire",2015,"['comedy', 'family']",5.8
I'll Sleep When I'm Dead,2016,['documentation'],6.6
Dil Dhadakne Do,2015,"['drama', 'comedy', 'romance']",7.0
Wazir,2016,"['thriller', 'crime', 'action', 'drama']",7.2
Cosmos Laundromat,2015,['fantasy'],
The Worthy,2016,"['scifi', 'thriller', 'family', 'fantasy', 'action', 'european']",5.1
Kyaa Kool Hain Hum 3,2016,['comedy'],1.9
Chronically Metropolitan,2016,"['drama', 'comedy']",5.0
1898: Our Last Men in the Philippines,2016,"['drama', 'history', 'war', 'european']",6.5
Sofía Niño de Rivera: Exposed,2016,['comedy'],7.3
Russell Peters: Almost Famous,2016,['comedy'],6.5
Miss in Kiss,2016,"['comedy', 'drama']",7.7
Ludo,2015,"['horror', 'thriller', 'fantasy']",2.8
Everything About Her,2016,"['comedy', 'drama']",7.1
#FollowFriday,2016,['thriller'],2.7
Eddie: Strongman,2015,['documentation'],7.4
Gabbar Is Back,2015,"['drama', 'action', 'crime', 'comedy']",7.2
The Massively Mixed-Up Middle School Mystery,2015,['comedy'],7.3
Jonah,2016,"['thriller', 'drama', 'romance', 'family']",5.4
Coach Snoop,2016,['documentation'],6.8
Motu Patlu: King Of Kings,2016,"['animation', 'comedy']",6.8
Sen Benim HerŞeyimsin,2016,['comedy'],6.2
Barakah Meets Barakah,2016,"['romance', 'comedy']",6.3
Word Party,2016,"['animation', 'family']",5.7
Fitoor,2016,"['drama', 'romance']",5.4
Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine),2015,['comedy'],6.8
Puerto Ricans in Paris,2015,['comedy'],5.3
Reggie Watts: Spatial,2016,"['comedy', 'music']",6.0
You Are My Sunday,2016,"['drama', 'comedy']",7.8
Layla M.,2016,"['drama', 'european']",6.7
Trailer Park Boys: Out of the Park: Europe,2016,"['action', 'crime', 'drama', 'comedy']",7.0
Asperger's Are Us,2016,"['documentation', 'comedy', 'drama']",6.6
Honeytrap,2015,"['drama', 'crime', 'romance']",5.9
City of Joy,2016,"['documentation', 'crime', 'drama', 'thriller', 'war']",7.5
ABCD 2,2015,"['music', 'drama']",5.4
Iliza Shlesinger: Freezing Hot,2015,"['comedy', 'documentation']",6.8
My Sunshine,2015,"['drama', 'romance']",6.6
Carlos Ballarta: el amor es de putos,2016,['comedy'],7.0
Offline: Are You Ready for the Next Level?,2016,"['action', 'comedy', 'european']",5.0
A Touch of Green,2015,"['family', 'drama', 'war']",8.4
Olmo and the Seagull,2015,"['drama', 'european', 'romance', 'family', 'documentation']",7.2
7:19,2016,"['thriller', 'drama', 'history']",5.9
Born in Syria,2016,"['documentation', 'european']",7.7
Te3n,2016,"['thriller', 'drama']",7.3
Kulipari: An Army of Frogs,2016,"['action', 'animation', 'fantasy']",6.9
The Doll,2016,"['thriller', 'horror']",5.2
Brother Jekwu,2016,"['comedy', 'crime']",
Clair Obscur,2016,"['drama', 'european']",6.5
Pettson and Findus: The Best Christmas Ever,2016,"['family', 'animation', 'comedy', 'fantasy', 'european']",5.5
U Turn,2016,"['horror', 'thriller', 'crime', 'drama']",7.5
28 Faces of the Moon,2016,['drama'],6.4
I Love You,2016,"['drama', 'comedy', 'romance', 'european']",4.7
Ordinary People,2016,['drama'],7.3
Poshter Girl,2016,['comedy'],6.6
The Creative Indians,2016,['documentation'],8.3
Shaandaar,2015,"['romance', 'drama', 'comedy']",3.6
Kazoops!,2016,"['family', 'fantasy', 'animation', 'comedy']",7.5
Bottersnikes & Gumbles,2016,"['action', 'animation', 'comedy', 'family']",5.1
Hawaizaada,2015,"['fantasy', 'drama']",5.6
Fangbone!,2016,"['animation', 'comedy', 'family', 'fantasy', 'action']",6.2
Very Big Shot,2015,"['thriller', 'action', 'crime', 'drama']",7.1
Joe Rogan: Triggered,2016,"['comedy', 'documentation']",7.4
X: Past Is Present,2015,"['drama', 'thriller', 'romance']",5.1
David Cross: Making America Great Again,2016,['comedy'],6.4
100 Meters,2016,"['drama', 'comedy', 'european']",7.5
Iliza Shlesinger: Confirmed Kills,2016,['comedy'],6.6
Breaking the Bank,2016,['comedy'],4.8
Hannibal Buress: Comedy Camisado,2016,['comedy'],6.6
"Have You Ever Fallen in Love, Miss Jiang?",2016,['drama'],
Bangistan,2015,"['comedy', 'drama']",4.5
Lang Tong,2015,['thriller'],4.8
"Trailer Park Boys: Drunk, High and Unemployed: Live In Austin",2015,['comedy'],6.5
Kiss of Life,2015,"['comedy', 'romance', 'drama']",5.9
Chasing Cameron,2016,['reality'],3.8
S Storm,2016,"['action', 'thriller', 'crime', 'drama']",5.2
Hans Teeuwen: Echte Rancune,2016,['comedy'],
Theo Von: No Offense,2016,"['comedy', 'documentation']",5.6
If I were an Animal,2016,['documentation'],
Mike Epps: Don't Take It Personal,2015,['comedy'],4.4
Husband Factor,2015,"['comedy', 'fantasy', 'romance', 'drama']",6.2
Michael Che Matters,2016,['comedy'],7.2
Spark,2016,['drama'],7.0
Under the Black Moonlight,2016,"['drama', 'thriller', 'horror']",5.0
Aziz Ansari: Live at Madison Square Garden,2015,['comedy'],6.6
Hibana: Spark,2016,['drama'],7.9
Katti Batti,2015,"['romance', 'comedy', 'drama']",4.7
Ave Maria,2015,['comedy'],
Patton Oswalt: Talking for Clapping,2016,"['comedy', 'documentation']",6.8
Husband Factor: Resurrection,2016,"['comedy', 'family', 'romance', 'drama', 'fantasy']",5.4
XV Beyond the Tryline,2016,"['documentation', 'sport']",6.8
Close Your Eyes Before It's Dark,2016,"['drama', 'crime']",7.0
Best Lover,2016,"['drama', 'romance']",6.8
Luna Petunia,2016,"['animation', 'family', 'fantasy']",6.2
"Dana Carvey: Straight White Male, 60",2016,['comedy'],6.4
A Second Chance,2015,"['romance', 'drama', 'family', 'sport', 'documentation']",8.6
Soul Thieves,2015,['horror'],5.0
Umrika,2015,"['drama', 'comedy']",6.6
Wedding Association 2: Circumcision,2015,['comedy'],6.4
The Miracle,2016,"['drama', 'comedy', 'fantasy', 'music']",6.3
The Dream Job,2016,"['drama', 'family']",6.1
One in a Billion,2016,['documentation'],6.7
Frank and Cindy,2015,"['comedy', 'drama']",6.1
Vanished 46,2016,"['scifi', 'action', 'crime', 'drama', 'thriller']",8.4
Niyazi Gül Dörtnala,2015,"['comedy', 'drama', 'action']",4.5
Brent Morin: I'm Brent Morin,2015,['comedy'],6.5
My Mother's Wound,2016,"['drama', 'war']",7.3
Saawan,2016,"['drama', 'thriller']",7.4
Beauty and the Bestie,2015,"['comedy', 'drama', 'action']",4.8
The CEO,2016,"['drama', 'thriller']",5.7
Sam Kinison: The Scream Continues,2016,['documentation'],6.1
Magic Cellphone,2016,"['drama', 'comedy']",4.1
Sila Samayangalil,2016,['drama'],5.5
Secret of Success,2015,['drama'],
Diamond Lover,2015,"['comedy', 'drama']",6.4
Ricardo O'Farrill: Abrazo Genial,2016,['comedy'],5.5
Brahman Naman,2016,['comedy'],5.5
Dedemin Fişi,2016,"['comedy', 'family']",5.5
My Stupid Boss,2016,"['comedy', 'drama']",7.2
Love O2O,2016,"['romance', 'drama']",6.4
Ojukokoro (Greed),2016,"['comedy', 'thriller', 'crime']",6.7
Aerials,2016,"['drama', 'scifi', 'thriller']",1.5
Unchained fate,2016,['scifi'],
Jimmy Carr: Funny Business,2016,[],
Santa Pac's Merry Berry Day,2016,"['action', 'animation', 'comedy']",
Sons of the Caliphate,2015,['drama'],7.4
Cedric the Entertainer: Live from the Ville,2016,['comedy'],6.0
The Blind Christ,2016,['drama'],5.8
Black,2015,['action'],4.4
Souk Bazaar,2015,['comedy'],5.2
Dharam Sankat Mein,2015,"['comedy', 'drama']",6.3
Saudi Arabia Uncovered,2016,['documentation'],
#Rucker50,2016,['documentation'],5.2
The Tour,2016,"['comedy', 'european']",
Barcelona: A Love Untold,2016,"['drama', 'romance']",6.9
Project Marathwada,2016,['drama'],6.6
Gang of the Caribbean,2016,"['thriller', 'european']",5.1
Budhia Singh: Born to Run,2016,"['drama', 'sport']",7.6
Crazy Beautiful You,2015,"['romance', 'drama', 'comedy']",7.2
Kara Bela,2015,"['comedy', 'action', 'drama']",6.8
Road To High & Low,2016,"['action', 'drama']",6.7
Fartsa,2015,"['crime', 'drama']",6.7
The Breakup Playlist,2015,"['drama', 'music', 'romance']",6.5
Singles Villa,2015,"['drama', 'romance']",7.7
Vince & Kath & James,2016,['romance'],6.9
Sommore: The Reign Continues,2015,['comedy'],6.9
The Last Egg,2016,"['romance', 'drama', 'comedy']",4.8
Ricardo O'Farrill: abrazo navideño,2016,['comedy'],5.7
You're My Boss,2015,"['comedy', 'romance']",6.3
Everyday I Love You,2015,"['romance', 'drama']",7.1
Triumph in the Skies,2015,"['comedy', 'drama']",4.3
The Super Parental Guardians,2016,['comedy'],4.5
Gbomo Gbomo Express,2015,"['drama', 'crime']",5.0
Chris D'Elia: Incorrigible,2015,"['comedy', 'documentation']",6.4
Virunga: Gorillas in Peril,2015,['documentation'],6.6
Thomas & Friends: Full Steam To The Rescue!,2016,['family'],
Cristina,2016,"['drama', 'documentation']",
Janoskians: Untold and Untrue,2015,['comedy'],3.7
Dieter Nuhr: Nuhr in Berlin,2016,"['comedy', 'european']",4.8
Santa Banta Pvt Ltd,2016,"['comedy', 'crime', 'drama']",2.7
Tariqi: My Way,2015,"['drama', 'music']",7.2
76,2016,"['romance', 'drama']",5.6
The Governor,2016,['drama'],7.4
Chhota Bheem in African Safari,2015,['animation'],6.5
Grandmother's Farm Part 2,2015,"['comedy', 'horror', 'thriller']",5.3
Jandino: Whatever it Takes,2016,['comedy'],4.5
The Unmarried Wife,2016,"['romance', 'drama']",5.8
The Love Affair,2015,"['romance', 'drama']",6.2
Pac’s Scary Halloween,2016,"['fantasy', 'horror']",
,2015,[],
Back to 1989,2016,"['scifi', 'drama']",8.0
Snervous Tyler Oakley,2015,['documentation'],5.4
Meet The in-Laws,2016,['comedy'],6.0
Oloibiri,2015,"['thriller', 'drama', 'action']",5.1
A Chaster Marriage,2016,"['romance', 'family', 'comedy']",5.4
Popples,2015,['animation'],6.0
Hajwala: The Missing Engine,2016,"['drama', 'thriller', 'action', 'crime', 'sport']",2.1
The Arbitration,2016,"['drama', 'comedy']",5.1
Just the Way You Are,2015,"['drama', 'comedy', 'romance']",6.3
My Little Baby,2016,"['comedy', 'drama']",6.9
Love Storm,2016,['family'],5.5
Bibik Bibikku,2016,"['drama', 'comedy']",
The Third Party,2016,"['comedy', 'romance']",6.1
Lakeeran,2016,['drama'],6.2
Love Is a Story,2015,"['comedy', 'european', 'romance']",6.0
A Man Returned,2016,['documentation'],
Time Out,2015,"['drama', 'animation', 'family', 'music']",6.0
Jada,2016,"['drama', 'sport']",5.3
Ozark,2017,"['crime', 'thriller', 'drama']",8.5
Derry Girls,2018,['comedy'],8.4
The Sinner,2017,"['crime', 'thriller', 'drama']",7.9
Blade Runner 2049,2017,"['scifi', 'thriller', 'action', 'drama']",8.0
Dark,2017,"['scifi', 'crime', 'drama', 'thriller']",8.7
Sorry to Bother You,2018,"['fantasy', 'scifi', 'drama', 'comedy']",6.9
Dunkirk,2017,"['drama', 'history', 'thriller', 'war', 'action', 'european']",7.8
